label	kind	manuscript_title	exact_declarations	alignment_status	note
sec:classes	section	Sequential estimand classes	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.HasClass; SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.existsUnique_estimandClass	Exact composite	Nine constructors and unique classification are formalised.
greatestfamily	lemma	Existence of the greatest valid constraint family	SequentialLearning.HypotheticalSequentialEstimand.canonicalConstraintFamily; SequentialLearning.HypotheticalSequentialEstimand.canonicalConstraintFamily_valid; SequentialLearning.HypotheticalSequentialEstimand.canonicalConstraintFamily_greatest; SequentialLearning.HypotheticalSequentialEstimand.greatestValidConstraintFamily_unique	Exact	The former manuscript assumption is replaced by the proved union construction.
Vwellposed	lemma	Well-posedness of Frechet risk and variance	SequentialLearning.frechetRootRisk_finite_everywhere_iff; SequentialLearning.frechetVariance_eq_iInf_dense; SequentialLearning.posteriorFrechetVariance_ae_eq; SequentialLearning.posteriorFrechetRisk_toReal_ae_eq_condExp_of_reference; SequentialLearning.posteriorFrechet_finite_and_integrable	Exact composite	The five declarations cover items (i)-(iv), including version independence and integrability.
masterlemma	lemma	Frechet variance under refinement	SequentialLearning.frechetRefinementGain_wellPosed	Exact	RCD kernels are explicit theorem arguments.
fixedlearning	corollary	Fixed-target learning	SequentialLearning.fixedTarget_learning; SequentialLearning.fixedTarget_refinement	Exact composite	The sequence theorem and its one-step identity are separate declarations.
oraclegap	corollary	Value of a binary enlargement	SequentialLearning.binaryEventMixtureKernel_apply; SequentialLearning.condExp_posteriorFrechetVariance_binaryOracleKernel; SequentialLearning.actual_binary_oracle_frechet_refinement_closed; SequentialLearning.actual_frechet_binary_oracle_gap_of_mixture_finite	Exact composite	Endpoint branches are zero-weight and need no separate moment assumption.
eq:branch	equation	Status-selected branch kernel	SequentialLearning.binaryOracleKernel_apply_of_mem; SequentialLearning.binaryOracleKernel_apply_of_not_mem	Exact	The fine kernel selects the corresponding branch on A and its complement.
eq:gammaA	equation	Binary oracle excess-risk identity	SequentialLearning.actualBinaryOracleGap_representation; SequentialLearning.actual_frechet_binary_oracle_gap_of_mixture_finite	Exact composite	The closed theorem derives interior branch finiteness from mixture finiteness.
maincriterion	theorem	Exact one-step learning criterion	SequentialLearning.probabilistic_exact_one_step_learning_criterion	Exact	No minimiser assumption is exposed.
increment	lemma	Residual after the increment	SequentialLearning.residual_after_increment	Exact	Hilbert conditional expectations use Mathlib's Bochner representation.
hilbcriterion	theorem	Hilbert form of the learning criterion	SequentialLearning.hilbert_one_step_learning_criterion	Exact	All equalities are almost sure.
resolved	corollary	Resolved increments	SequentialLearning.resolved_increment_learning	Exact	The increment-measurability hypothesis is unchanged.
